Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
A & A Plastic Industries Sdn Bhd(459904-H),Kiong Kuan Yew,Chief Executive Officer,Annette Tan Lee Ping,Marketing Manager,None,"33, Jalan Mas Jaya 3, Kawasan Perusahaan Mas Jaya, Batu 9",43200,Cheras,Selangor,Malaysia,603-9076 9028/29,603-9076 9030,"
annette@aaplastic.com.my,apple@aaplastic.com.my,","
www.aaplastic.com.my,","PE, PP, PVC","Blow Moulding , Silkscreen-painting","Toiletries Products, Packaging Consumer Products,Bathroom/Toilet",None,None,None,None,
"
A. Schulman Plastics (Malaysia) Sdn Bhd",Goo Poh Ting,General Manager,Goo Poh Ting,General Manager,2000,"2, Jalan Wawasan Utama, Kawasan Perindustrian Sri Gading",83300,Batu Pahat,Johor,Malaysia,607-455 6777,607-455 9777,"
myenquiry@aschulman.com,","
www.aschulman.com,www.icopolymers.com,","ICORENE, BAYSHORE, POLYBATCH, COTENE",ISO 9001:2008,Compounds,Specialty Powder and Masterbatches,"Singapore, Thailand, Mauritius, Philippines, Indonesia, China, India, Pakistan, Sri Lanka, Middle East, Papua New Guinea, Australia, New Zealand, Turkey, New Caledonia, Europe",None,,
"
A. Waner Plastic Manufacturing (M) Sdn Bhd(587406-U)",Khaw Seang Hoo,Chief Executive,Khaw Seang Hoo,Chief Executive,1989,"22, Lorong Nagasari 4, Taman Nagasari",13600,Prai,Pulau Pinang,Malaysia,604-390 3026/27,604-390 3028,"
waner@tm.net.my,",HDPE,Film Blowing/Film Extrusion,"Plastic Bags,Films and Bags","Europe, Europe Free Trade Area, Japan",None,None,None,,
"
Abeam Industries (M) Sdn Bhd(188349-V)",Hoo Yew,Chief Executive,Hoo Chee Chian,None,1989,"2A, Jalan Bunga Raya 4, Pekan Layang-Layang Baru",81850,Kluang,Johor,Malaysia,607-684 1611,607-684 1612,"
cheechian@abemindustries.com,",HDPE,Film Blowing/Film Extrusion,Plastic Bags,"Europe, Europe Free Trade Area, Japan",None,None,None,None,
"
Abiba Plastic Industries Sdn Bhd(769252-U)",Ooi Kean Zin,Director,Teoh Boon Chuan,Sales Executive,2007,"Lot 73-B, Jalan Sembilan, Kawasan Perusahaan Bakar Arang",8000,Sungai Petani,Kedah,Malaysia,017-494 1933,604-421 7488,"
abibaplastic@yahoo.com,",PE,"Film Blowing/Film Extrusion , Bag Making","Shopping Bags, T-shirt Bags, Garbage Bags on Rolls,Films and Bags","France, United Kingdom, Italy",None,None,None,,
"
Ace Tex Packaging Products Sdn Bhd(463083-W)",David Cham,Managing Director,Frances Lee,Marketing,1996,"28-B Lorong 2D, Kampung Baru Subang",40150,Shah Alam,Selangor,Malaysia,603-7734 7777/666/22,603-7734 7999,"
info@ace.com.my; frances@ace.com.my,","
www.ace.com.my; www.Ace-TexPlastic.com,",ACE,ISO 9001: 2008,PP,Injection Moulding,"Disposable Microwave Safe Food Containers, Thinwall Products, OEM Products,Containers and Bottles,Containers and Bottles, Houseware, OEM Manufacturing","Middle East, United States, United Kingdom, France, Belgium, Ireland, Hong Kong, Indonesia, Thailand, Philippines, Australia, New Zealand, Switzerland, Pakistan",,
"
Actrolex Industry Sdn Bhd(388409-P)",Roger Leong Win Lok,Director,CK Leong,Managing Director,1996,"10, Jalan Utama 2/28, Pusat Perindustrian Maju Jaya",47100,Puchong,Selangor,Malaysia,603-8062 5022/5028,603-8062 5039,"
aisb0810@gmail.com,",ACTRO,MS 1058,HDPE,Pipe Extrusion,"HDPE Pipes, Industrial and Construction",Indonesia,None,,
"
Adikem Sdn Bhd",Derrick Kong,Chief Executive,TS Wong,Marketing Manager,1980,"Lot 2 & 4, Jalan PJS 11/5, Bandar Sunway",46150,Petaling Jaya,Selangor,Malaysia,603-5636 4615,603-5636 3579,"
sales@adikem.com.my,","
www.adikem.com.my,","Nucrel, Bynel, Selar PA, Surlyn, Appeel, Elvaloy, Fusabond, Elvax, Himilan, T1-PURE T102, Macrolex, Mesamoll, Disflamol, Ultramoll","Compounds , Recycling, Others - Distribution","Distributor for Dupont Ethylene Co-polymer Recycling, Packaging and Plastic Industrial Polymers, Showa Denko CPP Films, Aluminum Foils, Recycling","Singapore, Indonesia",None,None,,
"
Adtech Malaysia Sdn Bhd(636504-X)",Wong Chee Hoe,Chief Executive Officer,Wong Chee Hoe,Chief Executive Officer,2003,"33, Jalan Koporat/KU 9, Taman Perindustrian Meru",42200,Klang,Selangor,Malaysia,603-3393 6833,603-3393 4833,"
sales@adtechmy.com,","
www.adtechmy.com,","ADTECH, HANDY FILM","ISO 9001 : 2008; ISO 14001: 2004; RoHS, NON-HALOGEN; ROH & REACH. Compliance",PE,"Film Blowing/Film Extrusion , Coating with Adhesive","PE Protection Film,Films and Bags","Thailand, Singapore, Indonesia, China, Taiwan, Hong Kong, Vietnam, Philippines",,
"
Advance Energy Sdn Bhd(270948-W)",Ahmad Farwis B.Mohd Akhir,Managing Director,None,None,1993,"Lot 10, Bandar Darul Aman, Jitra",6000,Kedah,Malaysia,604-919 9355,604-919 9809,"
info@advance-energy.com.my,","
www.advance-energy.com.my,",LDPE,Blow Moulding,None,None,None,None,None,None,None
"
Advent Packaging Sdn Bhd(518545-M)",Bong Sook Fong (Andrey),Managing Director,Ong Qin Kai (Ericsoon),Sales Director,2000,"Lot 517, Kampung Perepat, Jalan Jati Kiri Off Jalan Kapar",42200,Klang,Selangor,Malaysia,603-3250 0750,603-3250 0786,"
admin@adventpac.com,","
www.adventpac.com,",ISO 9001 : 2008,"LDPE, LLDPE, HDPE",Film Blowing/Film Extrusion,"Industrial Film, Agricultural Film. Food Packaging, Construction Film,Films and Bags, Industrial and Construction","Australia, Japan, Uganda",None,,
"
Aik Hin Plastic Co(198366)",Koay Chung Hwa,Managing Director,Koay Choon Seng,Manager,None,"291, Lebuh Pantai Penang",10300,Pulau Pinang,Malaysia,604-390 8353,604-398 9020,"PE, PP, HM","Film Blowing/Film Extrusion, Sheet Extrusion","HD/PE Film Bags, PP Films Bags, HD/PE Sheets, PP Sheets,Films and Bags, Medical",None,None,None,None,None,None,None,
"
Allbright Industries (M) Sdn Bhd(457414 - W)",Andrew Yeoh,Chief Operation Officer,None,None,1998,"1, Jalan Sri Plentong 6, Taman Perindustrian Sri Plentong",81750,Masai,Johor,Malaysia,607-387 3198,607-387 3199,"
andrew@allbright.com.my,",ISO 9001: 2015,Others - Stearic Acid,Compounds,Metallic Stearates,"Indonesia, Vietnam",None,None,None,None
"
Alpha Innovation Sdn Bhd(251489-X)",WN Cheah,Executive Director,WN Cheah,Executive Director,1992,"162, Batu 4A½, Jalan Tampin, Kawasan Perindustrian Ringan Senawang",70450,Seremban,Negeri Sembilan,Malaysia,606-677 2532,606-677 2532,"
alpha_innovation@yahoo.com,","
www.alphainn.cjb.net,","ABS, EVA, PE, PP, PVC, TPE, TPC, PETG","Blow Moulding, Injection Moulding","Milk Containers, Sealed Cover Containers, Screwed Cover Containers, Detergent Bottles, Shampoo Bottles, Dishwashing Liquid Bottles and Versatile Industry Parts, Hose Parts,Containers and Bottles,Containers and Bottles","Japan, United Kingdom",None,None,,
"
Alpha Pipe Industries Sdn Bhd(709879-P)",Peter Hew,Director,LS Hew,Sales Executive,2005,"5 & 7, Jalan Meranti Jaya 14, Meranti Jaya Industrial Park",47100,Puchong,Selangor,Malaysia,"603-8061 9639, 8066",603-8061 9684,"
alphapipe1@gmail.com,",APISB,HDPE,Pipe Extrusion,"HDPE Pipes, LDPE Pipes, Industrial and Construction",None,None,None,,
"
Alphaplas Industries Sdn Bhd(592388-X)",Chai Voi Keong,Managing Director,Johnson Phoon Cheong Sun,Director,2002,"21 Persiaran Kilang, Jelapang Industrial Estate",30100,Ipoh,Perak,Malaysia,605-526 5321/ 527 39,605-527 3951,"
johnson.phoon@gmail.com; alphaplas21@gmail.com,","PE, PP, PS, PVC, HIPS, HDPE","Calendering , T-Die Extrusion","PVC Rigid Sheets/ HIPS/ HDPE Sheets, Antistatic and Conductive Sheets, Stationery","Australia, Middle East, Vietnam",None,None,None,,
"
Amrich Foam Manufacturing (M) Sdn Bhd(102719-P)",Kong Chun Wah,Director,Leong Chee Jian,Director,1983,"Lot 6395, Off Jalan 32 Kawasan 16, Kawasan Perindustrian Sungai Rasa",41300,Klang,Selangor,Malaysia,603-3342 8188/4154/4,603-3342 7522,"
amrich@amrich.com.my,","
www.tradenet.com/sites/amrich,","MS ISO 9001: 2001, MS ISO 14001: 2004","EPS, EPP, EPE","Foam Moulding , Spray-painting","Moulded EPS, EPE and EPP Foam for Packaging, Insulation, Automobile and Construction Purposes,Foam",Singapore,None,,
"
Anchor-Link Sdn Bhd(303195-P)",Ir Chiu Git Loo,Director,Dr Poh Lee Kieng,Director,1994,"Lot 12, Jalan TUDM, Kampung Baru Subang, Seksyen U6",40150,Shah Alam,Selangor,Malaysia,603-7845 8388/7845 2,603-7845 1388/7845 2,"
al@anchorlink.com.my; a_link@tm.net.my,","
www.anchorlink.com.my,","PS, UP, Glass Fibre","Compression Moulding, Sheet Moulding, Hot Press Moulding","Sheet Moulding Compound (SMC), GRP Sectional Water Tank Panels, Contract Moulding, OEM Manufacturing",None,None,None,,
"
APM Plastics Sdn Bhd(208524-P)",Dr Fun Woh Peng,Chief Executive Officer,Tony Siow,General Manager,1981,"8, Jalan Jasmine 3, Sek BB10, Bandar Bukit Beruntung 1",48300,Rawang,Selangor,Malaysia,603-6099 7700,603-6028 5102,"
apmpl@apm.com.my,",APM,"QS 9000, ISO 14001","ABS, PC, PE, PMMA, PP, PS, PU, PVC, PBT, POM
","Injection Moulding, Pipe Extrusion, Profile Extrusion, Thermoforming , Vacuum Forming, Painting","Automotive Parts : Boddy Side Moulding, Mudguard, Weatherstrip, Quater Wheel, Radiator, Glovebox, Rim Head Lamp, Mudflap, Roof Side Inner, Window Frame, Door Trim, Moulding Roof Drip, Insert Moulding, Rocker Panel, PU Foam : PU Padding,Electrical and Electronics,Foam, Houseware, Industrial and Construction, Transportation","Thailand, Philippines, China, Taiwan, Indonesia, Vietnam, Singapore",None,,
"
Arensi-Marley (M) Sdn Bhd(290592-A)",Raja Hizaruddin,Executive Chairman,Vincent Pang,Product Manager,1994,"Lot 766, Persiaran Selangor, Seksyen 16",40200,Shah Alam,Selangor,Malaysia,603-5519 0564,603-5519 0613,"
enquiry.arensimarley@gmail.com,","
www.arensimarley.com,","ARENSI-MARLEY, F370 SPHERA/CURVE, F300, F525 XPERT","BS4576, BS4514, ISO 9001 : 2000, BS EN 607 : 1996",uPVC,"Injection Moulding, Pipe Extrusion, Extrusion","uPVC Rainwater Channeling Devices, Industrial and Construction","Singapore, Middle East, Malta",,
"
Arita Plastics Industries (M) Sdn Bhd(259615-V)",Dato Alvin Lim Theng Hooi,Managing Director,Datin Peggy Khoo,Executive Director,1993,"1073, MK 6, Lorong Perusahaan Maju 2, Lorong Perusahaan Maju 2, Prai Industrial Estate, Phase 4, Prai",13600,Pulau Pinang,Malaysia,604-507 8688,604-507 5688,"
info@aritaplastic.com,","
www.aritaplastic.com,",A-PLAS,ISO 9001 : 2008,"ABS, PC, PMMA, PS, Arcylic, PETG","Thermoforming, Vacuum Extrusion, Sheet Extrusion , Anti Scratch Coating Process, CNC Routing","High Quality Extrusion Panel for Optical Application, Casing and Parts, Agricultural,Bathroom/Toilet,Children,Electrical and Electronics,Furniture, House Cleaning Utensils, Houseware, Industrial and Construction, OEM Manufacturing, Recreational, Toys, Games, Sports","Singapore, Australia, Lebanon, Thailand, Canada, China, Japan, South Africa, India, Dubai",None,,
"
Asasrama Sdn Bhd",Ong Leng Chun,Director,Rachel Ong,Manager,2003,"Lot 5444, Jalan Pasar Malam, Batu 8, Off Jalan Meru, Bukit Kapar",42200,Klang,Selangor,Malaysia,603-3392 9988,603-3392 8989,"
asasramasb@yahoo.com,",Recycling,"Recycled Raw Materials - ABS, PE, PET and PP","China, Hong Kong",None,None,None,None,,
"
Asia Poly Industrial Sdn Bhd(132287-H)",Tay Swee Keng,Executive Director,Kua Chye Heng,Business Enquiries,1984,"Lot 758, Jalan Haji Sirat, Mukim Kapar",42100,Klang,Selangor,Malaysia,603-3342 2567,603-3342 8320,"
info@asiapoly.com.my ; sktay@asiapoly.com.my,","
www.asiapoly.com.my,",A-Cast,ISO 9001:2015,"PMMA, Methyl Methacrylate Monomer","Cell Casting , Polymerisation and Cell Cast","Cast Acrylic Sheets, Agricultural","India, Brazil, United Arab Emirates, Australia, Turkey, New Zealand, Korea, Japan, USA",,
"
Asiatic Plastic Packaging Industries Sdn Bhd(162018-T)",Choong Tat Koon,Chairman,Choong Kim Voon,Managing Director,1987,"1 - 3 Jalan Kilang Satu, Kawasan Perindustrian, Jelapang Taman Pertama",30100,Ipoh,Perak,Malaysia,"605-526 3917/3966/0148, 528 2741",605-526 3927,"
tkchoong400503@yahoo.com; erikchuah@asiaticplastic,","
www.asiaticplastic.com,","ISO 9001:2008, HACCP Food Safety System Certification, ISO 14000","PET, PP, PS, PVC, BOPS, LDPE","Injection Moulding, Sheet Extrusion, Thermoforming , Pressure Forming, Vacuum Forming, Auto Wrapping, Hot Stamping, Induction Sealing, Off-set Printing, Top Sealing, Silkscreen-painting","OEM Manufacturer for Trays and Containers, Reusable and Disposable Containers, Cups, Lids and Cutlery, Blister Packaging for Food Industries, Household, Food Service, Electronic and Pharmaceutical,Containers and Bottles,Containers and Bottles,Cutlery, OEM Manufacturing","Australia, Brunei, Indonesia, New Zealand, Pakistan, Philippines, Singapore, United States",None,,
"
Associated Air-Pak Industries Sdn Bhd(26441-T)",Chandra Kumar,Managing Director,Sivagnana Kumaran,General Manager,1976,"9, Persiaran Rishah 9, Kawasan Perindustrian Silibin",30100,Ipoh,Perak,Malaysia,605-526 2122,605-527 5476/526 8422,"
air-pak@air-pak.net; chandra@air-pak.com.my,","
www.air-pak.net,",ISO 9001 : 2000; ISO 14001 : 2004,"PE, PP, PS",Film Blowing/Film Extrusion,"Air Bubblepak, PE Foam, PP/HIPS Sheet, PE Films, Conductive/Antistatic/Clean Films and Sheet, Agricultural,Films and Bags,Foam","Singapore, Indonesia, Thailand",None,,
Atas Sepakat Recycle Centre,Johnny Ting,Chief Executive,None,None,2007,"20, Lot 1299, section 66, Jalan Perbadanan Pending Industrial Estate",93450,Kuching,Sarawak,Malaysia,6082-337 023,6082-337 023,"
atassepakat@gmail.com,",Recycling,"Recycled Raw Materials - PET, PP",None,None,None,None,None,None,None
"
Atom Corporation Sdn Bhd(75603-A)",Masao Yasumatsu,Managing Director,Chew Tuck Loong,Market Development Manager,1981,"Lot 468 Batu 2, Jalan Bangi",43500,Semenyih,Selangor,Malaysia,603-8723 4805/2263,"603-8723 4806, 8724 7764","
admin@atom-corp.com,","
www.atom-corp.com,",ISO 9001 : 2015,"PET, PP, LDPE, HDPE, OPP, Nylon, LLDPE, mLLDPE","Film Blowing/Film Extrusion , Lamination, Printing","Flexible Packaging including - Freezer Bags, Diaper Bags, Multi-coloured Printed Bags and Films for Auto Packing,Films and Bags",Singapore,None,,
"
Auto Global Parts Industries Sdn Bhd(217338-H)",Chin Jit Sin,Managing Director,ChinJit Sin,Managing Director,2010,"Lot 5043, Jalan Teratai, Meru",41050,Klang,Selangor,Malaysia,603-3392 6818,603-3392 6808,"
enquiries@newhoongfatt.com.my,","
www.autoglobal.com.my,","ISO 9001 : 2015
","PP, ABS",Injection Moulding,"Transportation Products, Parts and Accessories, Manufacturing of Automotive Plastic Parts and Accessory Lamps, Transportation","
",None,,
"
Award Packaging Industries Sdn Bhd(517195-D)",Soh Choon Pink,Executive Director,Sally Lai Kah Gaik,Managing Director,2000,"Lot 3217, Jalan Seelong, Mukim Senai - Kulai",81400,Senai,Johor,Malaysia,607-598 8677/599 8677,607-599 3677,"
sally@awardpack.com; jamesng@awardpack.com,","
www.awardpack.com,","ISO 9001 : 2008, ISO 14001 : 2004, ISO 45001 : 2018","PE, PP, PS, HDPE, PET","Film Blowing/Film Extrusion, Film Casting , Printing, Recycling","Agricultural Films/Sheets, Industrial Films, Builders Films, Garbage Bags, Bin Liners, Shopping Bags, Pallet Cover, Fruit and Vegies Bags on Rolls, Stretch Films, Shrink Films, Recycled Resin-HDPE, LDPE, LLDPE,Films and Bags, Industrial and Construction","Australia, Singapore, Europe, Middle East, New Zealand",None,,
"
AYS Metal Products & Engineering Sdn Bhd(319231-U)",Oh Chiew Ho,Managing Director,Jeff Ng; Alan Wong,General Manager ; General Manager,1995,"Lot 3846, 7A½ Mile, Jalan Kapar",42200,Klang,Selangor,Malaysia,603-3291 9888/8012/8013,603-3291 9018,"
jeffng@ays-group.com; info-metal@ays-group.com,","
www.aysmetal.com,",TS Tank,"SS245 : 1995, MS1390 : 2010","PE, SMC (Sheet Moulding Compound)
","Compression Moulding, Rotational Moulding","GRP / FRP Sectional Tank, Pressed Steel Tank, Stainless Steel Tank, Industrial and Construction","Singapore, UAE, Indonesia, Vietnam, Philippine, Cambodia, Nigeria, South Africa",,
"
Azman Hamzah Plastik Sdn Bhd(134722-T)",Tn Hj Mohd Fitri Bin Mohd Aris,Managing Director,Noramiza Bt Mohamed,Assistant Manager,1989,"Lot 10, Jalan Bursa 23/4, Section 23",40300,Shah Alam,Selangor,Malaysia,603-5542 5413/1972,603-5542 5407/1968,"
ahp@ahpsb.com.my,","
www.ahpsb.com,",ISO/TS 16949 : 2004,"ABS, PA, PBTP, PC, PMMA, POM, PP, PS, PVC, ASA","Injection Moulding , Spray-painting, Ultrasonic Welding, Hot Plate Welding, Vibration Welding and Assembly of Instrument Panel","Automotive Plastic Components, Instrument Panel Assy, Reservoir Power Steering Assy, Reservoir Brake Master Assy, Front and Rear Floor Console Assy, Module, Timing Belt Cover Assy, Water Tank Inlet/Outlet, Scuff Plate, Cover Engine Assy, Radiator Grill Assy, Ashtray Assy, Handle Glove Box Assy, Weather Strip, Handle Regulator Assy, Mudguard Front/Rear, Splash Shield, Expansion Tank Assy, Cluster Meter, Trim Pillar Assy, Transportation",None,None,,
"
B & Z Plastic Industry Sdn Bhd(242733-U)",Dato Dr Zahrah bt A Kadir,Managing Director,Mohamed Nazli B. Kamarudin,Acting Chief Executive Officer,1992,"15, Wisma B & Z, Jalan Tengku Ampuan, Zabedah J9/J",40100,Shah Alam,Selangor,Malaysia,603-5880 5495/96/97,603-5880 5478,"
bzahrah@gmail.com,","
www.bnzgroup.com,","MONSOON, NEWWOOD",MS ISO 9001 : 2000,"uPVC, HDPE, Wood Polymer Composite","Injection Moulding, Pipe Extrusion , Stamping","uPVC Pipes, uPVC Telecommunication Duct, uPVC Cable Slab, uPVC Rain Gutter System, HDPE Sub-Duct and Wood Polymer Composite, Industrial and Construction, Telecommunication","Singapore, Maldives, India, Ghana, Australia, Kenya",,
"
Bagan Printers Sdn Bhd(97795-P)",Phee Boon Eow,Director,Phee Boon Chee,Director,1983,"5887, Mak Mandin Industrial Estate",13400,Butterworth,Pulau Pinang,Malaysia,604-333 3819,604-331 7936,ISO 9001 : 2008,"Gravure Printing, Wet Extrusion , Dry Lamination, Pouch Making","Laminate Films, Preformed, Refont Pouches, Zip-lock Pouches,Films and Bags","Japan, New Zealand, Maldives, Thailand, Singapore, Myanmar",None,None,None,None,,
"
Ban Hing Loong Plastic Factory Sdn Bhd",Phang Wai Heng,Director,Phang Wei Khean,Director,1979,"20 Jalan Kilang 3, Jelapang Light Industrial Estate",30100,Ipoh,Perak,Malaysia,605-526 2101/5608,605-526 2092,"
bhlplas@yahoo.com,","PE, PP, HDPE, CPP, OPP",Film Blowing/Film Extrusion,"Shopping Bags, Self-adhesive Bags, Garment Bags, Photo Album Pockets, File Protector, Exercise Book Cover Bags,Films and Bags",None,None,None,None,,
"
Ban Hock Guan Plastic Industry Sdn Bhd(324509-U)",Lim Kee Guan,Chief Executive Officer,Lim Kee Guan,Chief Executive Officer,1994,"9, Jalan Budi 6, Taman Wawasan Perindustrian",83000,Batu Pahat,Johor,Malaysia,607-428 8511,607-428 8511,"
rina_hertak@yahoo.com,","ABS, PP, HIPS, HDPE, LDPE",Recycling,"Recycling, Recycling",None,None,None,None,,
